@relation R_data_frame

@attribute b1 numeric
@attribute b2 numeric
@attribute b3 numeric
@attribute b4 numeric
@attribute b5 numeric
@attribute b6 numeric
@attribute b7 numeric
@attribute b8 numeric
@attribute b9 numeric
@attribute rawDataTesting.class {'d ','h ','o ','s '}

@data
37,24,47,79,43,84,42,20,45,'h '
45,27,51,84,52,94,58,23,51,'s '
48,33,54,107,58,104,90,25,55,'d '
72,67,84,97,70,104,99,30,63,'d '
53,27,50,96,53,96,68,23,53,'s '
40,25,50,85,51,93,56,23,51,'s '
31,29,50,88,53,95,69,23,50,'d '
39,32,51,94,54,98,76,23,51,'d '
48,26,50,87,49,89,68,22,52,'s '
69,69,89,110,73,113,122,38,76,'o '
54,38,60,109,58,105,101,26,59,'d '
55,40,61,91,58,98,100,25,55,'d '
69,63,84,108,75,112,130,34,72,'d '
60,69,95,109,67,109,98,31,66,'d '
38,37,58,97,62,111,72,24,53,'d '
70,29,52,102,54,102,79,25,58,'s '
57,63,85,112,73,115,103,30,65,'d '
49,36,61,87,51,90,65,22,50,'d '
51,26,48,90,46,86,61,21,50,'s '
43,41,59,93,56,97,93,25,55,'d '
57,26,50,93,53,97,73,23,54,'s '
41,23,47,81,46,89,45,19,48,'s '
66,31,59,90,49,88,81,25,53,'s '
44,38,60,96,60,105,79,25,52,'d '
48,25,50,91,48,90,74,23,53,'s '
67,78,107,89,64,97,82,26,55,'d '
52,41,64,93,53,94,80,23,53,'d '
60,56,71,94,64,99,100,26,57,'d '
54,28,51,93,56,100,80,24,55,'s '
35,29,51,74,52,89,60,22,49,'s '
62,32,54,92,50,89,84,26,57,'s '
54,29,51,88,51,91,95,24,55,'s '
52,33,54,99,61,107,109,26,56,'s '
57,60,86,87,59,96,103,27,57,'d '
49,25,48,90,50,91,77,25,56,'s '
67,29,53,103,51,96,86,25,55,'h '
57,31,52,93,51,91,91,23,54,'s '
58,31,55,95,51,92,82,24,58,'s '
46,29,50,85,51,90,80,24,53,'s '
56,31,53,95,58,99,78,24,56,'s '
53,51,72,91,83,121,66,43,71,'o '
57,31,52,90,52,91,88,25,56,'s '
62,57,77,93,78,110,98,31,62,'d '
56,31,54,96,55,99,70,23,53,'s '
51,27,50,95,55,98,81,25,54,'s '
77,27,52,101,57,102,84,25,57,'s '
58,32,55,101,50,93,73,24,54,'s '
61,31,55,96,61,101,96,24,55,'s '
57,32,55,95,52,91,87,23,54,'s '
62,72,103,86,61,97,94,26,56,'d '
60,50,76,87,65,96,98,26,56,'d '
57,75,114,73,73,108,59,48,69,'o '
58,40,65,100,58,100,106,26,57,'d '
57,60,81,90,75,113,75,31,60,'o '
80,29,55,115,48,96,99,26,62,'h '
54,52,71,91,64,97,123,27,60,'d '
76,30,58,116,49,92,106,25,62,'h '
41,39,63,78,58,94,84,25,55,'d '
75,28,54,115,56,101,80,23,55,'h '
82,30,54,120,52,95,104,24,58,'h '
40,33,58,72,56,92,63,22,50,'d '
77,28,52,115,56,103,104,24,59,'h '
73,29,50,101,47,90,82,24,56,'h '
61,62,84,90,62,98,98,25,54,'o '
49,29,52,84,51,92,61,23,52,'s '
61,29,54,96,59,103,84,26,60,'s '
78,29,55,114,49,91,95,24,58,'h '
66,36,61,92,50,90,77,23,54,'s '
63,27,51,101,48,90,87,24,57,'s '
50,26,49,90,52,94,64,22,51,'s '
60,26,49,100,55,98,70,22,52,'s '
57,61,87,81,49,86,61,23,50,'d '
63,34,60,90,49,91,81,25,58,'s '
45,27,50,83,48,83,70,24,53,'s '
76,28,53,115,52,97,99,24,59,'h '
72,28,54,107,50,91,92,24,55,'h '
48,33,57,93,54,95,94,25,54,'d '
47,26,48,86,45,86,75,24,52,'s '
71,91,124,90,79,110,80,37,66,'d '
57,30,52,96,50,92,98,24,58,'s '
71,28,52,108,58,101,90,26,58,'h '
84,30,57,115,48,93,105,25,61,'h '
48,31,52,93,50,92,101,25,58,'o '
54,26,50,100,55,99,72,23,54,'s '
63,29,51,92,46,86,72,23,53,'s '
70,28,53,103,53,99,94,24,61,'h '
57,30,53,89,48,87,90,24,55,'s '
80,31,54,118,50,92,106,24,59,'h '
59,32,56,90,50,90,85,25,56,'s '
76,28,53,115,55,99,102,24,58,'h '
49,25,50,92,54,100,60,23,52,'s '
51,41,61,101,65,108,111,26,60,'o '
55,56,72,91,79,113,86,35,68,'o '
69,49,76,91,52,91,92,25,57,'d '
49,26,48,107,59,104,62,22,53,'s '
55,26,52,92,55,98,65,23,56,'s '
71,28,51,96,46,88,92,25,58,'h '
